"out_bt.C.x.Threads","out_bt.C.x.time_seconds.Media","out_bt.C.x.time_seconds.SD","out_bt.C.x.CO2eq.Media","out_bt.C.x.CO2eq.SD","out_cg.C.x.Threads","out_cg.C.x.time_seconds.Media","out_cg.C.x.time_seconds.SD","out_cg.C.x.CO2eq.Media","out_cg.C.x.CO2eq.SD","out_ft.C.x.Threads","out_ft.C.x.time_seconds.Media","out_ft.C.x.time_seconds.SD","out_ft.C.x.CO2eq.Media","out_ft.C.x.CO2eq.SD","out_mg.C.x.Threads","out_mg.C.x.time_seconds.Media","out_mg.C.x.time_seconds.SD","out_mg.C.x.CO2eq.Media","out_mg.C.x.CO2eq.SD","out_sp.C.x.Threads","out_sp.C.x.time_seconds.Media","out_sp.C.x.time_seconds.SD","out_sp.C.x.CO2eq.Media","out_sp.C.x.CO2eq.SD","out_ua.C.x.Threads","out_ua.C.x.time_seconds.Media","out_ua.C.x.time_seconds.SD","out_ua.C.x.CO2eq.Media","out_ua.C.x.CO2eq.SD","PO.Threads","PO.time_seconds.Media","PO.time_seconds.SD","PO.CO2eq.Media","PO.CO2eq.SD","ST.Threads","ST.time_seconds.Media","ST.time_seconds.SD","ST.CO2eq.Media","ST.CO2eq.SD","FFT.Threads","FFT.time_seconds.Media","FFT.time_seconds.SD","FFT.CO2eq.Media","FFT.CO2eq.SD","HPCG.Threads","HPCG.time_seconds.Media","HPCG.time_seconds.SD","HPCG.CO2eq.Media","HPCG.CO2eq.SD","JA.Threads","JA.time_seconds.Media","JA.time_seconds.SD","JA.CO2eq.Media","JA.CO2eq.SD","LULESH.Threads","LULESH.time_seconds.Media","LULESH.time_seconds.SD","LULESH.CO2eq.Media","LULESH.CO2eq.SD"
2,479.547,1.99986694001821,6.41739,2.2099162198549,2,189.613,2.35278581921753,2.67504,0.933076087406,2,99.517,0.431896335298694,1.53571,0.533049929806455,2,110.314,0.904399125263718,1.54133,0.662757807364215,2,276.3,0.563264295572389,3.65741,1.57303090062889,2,292.89,1.00454522601579,3.75601,1.61799213049178,2,3.616363,0.108848955392323,0.05101,0.0175336153336004,2,3.473981,0.251763522882971,0.04812,0.0175871038611314,2,50.0598219,0.273675023261554,0.63511,0.277568708010587,2,45.133832,0.904140203309199,0.5699,0.250791670958631,2,68.468498,2.91821619605311,0.97261,0.343597673158594,2,139.828,2.09463229337381,1.83575,0.638941769647282
4,269.564,2.29453553760524,3.94893,1.36082912720313,4,97.891,1.14624459286256,1.46853,0.50738745232591,4,54.171,0.130592666120439,0.91961,0.317657147286539,4,68.282,0.194639267478186,1.05166,0.453003002688111,4,161.794,0.437675679013583,2.35775,1.01091759775189,4,170.808,0.307852778667551,2.3388,1.00875777072596,4,1.901093,0.0810087216223593,0.0383,0.0131672151784482,4,1.504251,0.0179030881569509,0.02984,0.0104123004182553,4,38.2919262,0.360101461746177,0.51101,0.222249021745129,4,23.865177,0.483123100509131,0.36652,0.157576082505492,4,33.649672,0.422197615915159,0.63699,0.220926354999428,4,80.737,1.64799575242171,1.44711,0.501018891748494
6,194.302,1.16332664754526,3.16897,1.09692828596748,6,67.085,0.731212843310497,1.09782,0.379004646116347,6,38.502,0.112526540079317,0.71408,0.246389176349576,6,54.38,0.536718424005239,0.916,0.392141680745337,6,142.315,0.891605916933658,2.2719,0.975630691740818,6,131.26,0.138403596613504,1.96773,0.845429660718278,6,1.407082,0.0875351645911516,0.03054,0.0108687319100865,6,1.085944,0.00884895122473718,0.02317,0.00791918205652859,6,35.3764217,0.298561269395244,0.48194,0.210309899381312,6,17.739208,0.238484485253583,0.26681,0.113649934741146,6,24.271692,0.54118446316698,0.50872,0.176942381079893,6,62.019,1.09560181331236,1.19623,0.414533389755545
8,149.65,1.00051098056054,2.73498,0.947531910691021,8,51.809,0.485877213570122,0.92656,0.323690178342741,8,29.955,0.0870823365174209,0.61305,0.211287809239751,8,48.94,0.669294819609083,0.90315,0.387995212599331,8,139.084,0.546121679563164,2.46753,1.06081702585004,8,111.331,0.150735235134693,1.82809,0.784785706702438,8,1.085671,0.0291766057160718,0.02565,0.00902887343778589,8,0.838435,0.0130083223361047,0.0158,0.0084855432615976,8,34.002822,0.278931593494813,0.45856,0.19684930050958,8,14.915662,0.26656044016737,0.23976,0.103110309862787,8,21.211246,0.638970461866413,0.45495,0.159419622729171,8,51.674,1.20836160886457,1.06043,0.367728311695227
10,124.555,1.2184347882974,2.5383,0.876070222959071,10,42.46,0.464040228141195,0.83367,0.290507728143523,10,25.299,0.0892499610955408,0.56469,0.195090545644836,10,47.861,0.377607968371666,0.95477,0.410134712421825,10,146.581,0.875676881046888,2.84142,1.22553658615318,10,99.725,0.320216940352768,1.79043,0.768760182299323,10,0.925867,0.0722326817460229,0.02102,0.00752282452865205,10,0.683225,0.0110842052288631,0,0,10,33.6541266,0.29309650212447,0.4358,0.182941526784441,10,13.396878,0.358933919910368,0.22779,0.0983561041431706,10,20.060184,0.888000319509452,0.44839,0.157943945401174,10,46.617,0.780271320332442,1.00926,0.349745813095422
12,106.45,0.534062002226543,2.70769,0.938602308932454,12,41.038,4.79334214185561,0.98849,0.351976661000256,12,21.056,0.100576118216779,0.57302,0.198048993938369,12,39.132,0.388610058770715,0.93187,0.401946483585398,12,121.894,0.916032507914187,2.82325,1.21776023114386,12,74.947,0.519423826091093,1.73307,0.740239516868245,12,0.754082,0.0483318930360114,0.0023,0.00727323861838727,12,0.580649,0.00315450101706542,0,0,12,33.3713806,0.274140268275284,0.43927,0.190147562873329,12,12.610461,0.453428531069426,0.22348,0.0992079051509729,12,19.084013,0.704258578381076,0.44902,0.155083588930472,12,42.255,0.515196834013738,0.97212,0.335908551708811
14,92.908,0.795763784046497,2.51576,0.869034243283888,14,27.916,0.541832282373635,0.73835,0.257962793398152,14,18.204,0.12720936373641,0.51144,0.176882335026549,14,33.555,0.324627992220839,0.85361,0.367672098630167,14,105.724,1.78305106800425,2.59529,1.12490624048802,14,64.936,0.587068044513486,1.60624,0.689547884406071,14,0.691382,0.105147629634613,0.00279,0.00882275467186978,14,0.511496,0.0213831159770714,0,0,14,33.5214776,0.317658201816285,0.4516,0.194801249140417,14,12.240487,0.410752515459938,0.2118,0.0982115856483111,14,18.7883,0.464944593114778,0.46012,0.159612459831096,14,39.3,0.550111099890034,0.96153,0.332636615376132
16,79.483,1.15406575972853,2.29936,0.787389164263771,16,24.423,0.308690783795046,0.68199,0.236074726634503,16,15.856,0.108443533693808,0.48314,0.16642579394099,16,28.971,0.23732069254726,0.78272,0.336847722931957,16,91.62,2.05496147571352,2.40272,1.02530527031384,16,57.888,0.739396150021533,1.51621,0.653665710436153,16,0.614639,0.0332322030733912,0,0,16,0.451131,0.0163274033112706,0,0,16,33.4702907,0.286377648848141,0.45871,0.197328268234545,16,12.071328,0.360823093212665,0.2006,0.104445977530119,16,18.719795,1.00909602192865,0.47086,0.16394692366061,16,37.533,0.666200670468991,0.97052,0.335510310489029
18,72.494,1.56126871485981,2.18362,0.751717805799195,18,21.959,0.342424363100006,0.64516,0.223816071312535,18,14.342,0.124168344507679,0.464,0.159804929697289,18,26.413,0.22992994102069,0.75665,0.324768178004626,18,81.892,2.24323575815532,2.31887,0.981481687212417,18,51.741,0.376399610343405,1.43574,0.61634216723433,18,0.578771,0.0456906536637661,0,0,18,0.422744,0.0467327527781343,8e-04,0.0025298221281347,18,33.6212812,0.321598881433862,0.47139,0.200994949908919,18,11.702536,0.471563542158778,0.17791,0.0958119622547785,18,17.807164,0.43948001214061,0.47832,0.166502264248868,18,36.706,0.975490759680595,0.99553,0.344392515243226
20,64.379,0.843411722312022,2.11445,0.725151533972191,20,20.041,0.367527776728055,0.60683,0.212485173600419,20,12.966,0.126508673396114,0.45205,0.156143753210516,20,23.721,0.138037837002919,0.7371,0.31637234743609,20,75.99,3.09749361043193,2.3396,0.998315118364715,20,47.817,0.216694869959275,1.40775,0.605385055150852,20,0.520208,0.0279567466713215,0,0,20,0.378011,0.0118716669708456,0,0,20,33.4039122,0.282090637410428,0.47295,0.203557773671806,20,11.657864,0.494480056584692,0.18269,0.0937450733520316,20,17.743086,0.347196832365223,0.4963,0.172323081577728,20,36.393,0.745371644811424,1.03858,0.359925377451123
22,97.323,0.67993545445301,2.64475,0.908735980787477,22,29.119,0.339982025668678,0.83355,0.288884829992854,22,18.222,0.0545282801244757,0.49953,0.215045985004758,22,29.671,0.104822601464463,0.83445,0.358083721588495,22,96.683,2.43066086121084,2.68132,1.16852532497636,22,61.911,0.32989729041358,1.69621,0.732142632506353,22,0.832429,0.0142921364937351,0.01883,0.00978548244424702,22,0.605184,0.00734826086756438,0,0,22,34.1373636,0.22392388716268,0.52149,0.221139897651539,22,11.684316,0.426890872060868,0.18979,0.101483402583871,22,21.010456,0.223701469830765,0.54638,0.188668815064328,22,48.099,0.68935477078207,1.31091,0.447545775312425
24,87.796,0.480351722988249,2.47863,0.856237788947803,24,26.736,0.192711644115704,0.77594,0.270287678841144,24,17.389,0.0802011360407214,0.47423,0.203622635993371,24,29.35,0.193907194296653,0.82932,0.357094446890455,24,96.561,2.84548941308872,2.67982,1.16395823884613,24,61.042,0.26869230646886,1.67746,0.725642341040758,24,0.779566,0.0300039301870049,0.00255,0.00806380803342937,24,0.56406,0.00541928039503399,0,0,24,33.9072866,0.348386818246042,0.51128,0.224410525599848,24,11.949951,0.355981115930169,0.20435,0.0938984232502809,24,20.097191,0.145658205661977,0.532,0.183020393520625,24,47.317,0.472324041310624,1.31279,0.450655987176225
26,89.342,0.565052603254286,2.49947,0.856915697979938,26,25.062,0.235504187271101,0.73617,0.254018691569472,26,16.352,0.0590291829898095,0.46775,0.200979652093329,26,29.481,0.191046823812616,0.83397,0.357456589594379,26,102.725,1.59491030747465,2.7863,1.2073533322474,26,59.904,0.738981280773291,1.66531,0.720541815349163,26,0.734893,0.0199475128218477,0,0,26,0.530332,0.0019619423482299,0.02262,0.0715307206730088,26,33.8552038,0.241148048163501,0.49649,0.218944419380302,26,11.798071,0.424784915155109,0.18949,0.0868151222106175,26,19.345862,0.0731334238528765,0.51872,0.178565760062411,26,47.231,0.57303189750271,1.3274,0.457127371017459
28,77.953,0.982242898223812,2.55503,0.610917715954176,28,23.415,0.117307762365119,0.70168,0.242713364554434,28,16.28,0.211344899788631,0.4596,0.196844529740831,28,30.83,0.180369990112916,0.86217,0.371311091643891,28,101.558,2.63735894830837,2.81291,1.21512888886552,28,58.474,0.529301426410322,1.64984,0.711851562554379,28,0.705392,0.0262146849431128,0,0,28,0.498961,0.00519225801875575,0,0,28,33.948357,0.284695387058597,0.5082,0.225752834361437,28,11.802012,0.377969073273345,0.21486,0.104724423554818,28,18.807396,0.252277206800597,0.50981,0.175915064417147,28,47.264,0.664566692581631,1.3449,0.466366922783624
30,79.979,0.706170423245458,2.54601,0.614412587490415,30,21.946,0.0982287579524903,0.67113,0.231423786590748,30,16.406,0.16324487400494,0.46455,0.200305806483764,30,32.037,0.174486548351314,0.88817,0.381996218858541,30,112.875,3.06739936899141,2.94602,1.24768658172725,30,57.911,0.500254379735393,1.65513,0.712620591042511,30,0.678837,0.0182940227336083,0,0,30,0.472311,0.00214176692372339,0,0,30,34.6103505,0.298603191352392,0.57274,0.249470266320012,30,11.795091,0.325683118808247,0.18817,0.0953048797864575,30,18.548459,0.142829902988757,0.50667,0.175000209841144,30,47.445,0.728594537448641,1.36137,0.463651255555054
32,72.449,0.855965341977504,2.47362,0.591861434233836,32,20.789,0.203712760741415,0.63742,0.2188516483831,32,15.148,0.0578887822562465,0.42474,0.196933729406056,32,29.857,0.238469657981425,0.85616,0.366669388474746,32,105.631,2.91648742306372,2.94662,1.27366923649745,32,53.828,0.676556641301295,1.58038,0.683498942208399,32,0.63706,0.0316772063162142,0,0,32,0.444843,0.0017947952529467,0,0,32,34.6305229,0.29665052143275,0.62111,0.215526092516789,32,11.791836,0.541923752266969,0.20261,0.103570099181397,32,18.366088,0.234043986929333,0.50403,0.174404001292019,32,47.297,0.612264467185364,1.38311,0.478327564308997
34,70.987,0.906814326211394,2.47414,0.591640454255041,34,19.644,0.0807189912942154,0.61525,0.213885349609967,34,14.515,0.091317516878685,0.44454,0.190278965965471,34,28.359,0.056460408940937,0.8353,0.358217395197696,34,98.725,2.3822083592051,2.8371,1.22570700414088,34,51.183,0.443747926442729,1.49701,0.647124009152977,34,0.629403,0.0147992087250937,0,0,34,0.427324,0.00171602382785839,0,0,34,34.8408049,0.415760343443045,0.62553,0.217412373408486,34,11.908035,0.419676533382821,0.20083,0.104205342686661,34,18.208264,0.154044157320051,0.5051,0.173414064532776,34,47.376,1.0941379153369,1.39849,0.485187190565547
36,65.958,0.690889925305679,2.35875,0.576521290442368,36,18.605,0.120392875389055,0.59356,0.205153629155215,36,13.743,0.100116598690393,0.43753,0.188335929480631,36,27.02,0.179567381348742,0.81767,0.350158551548041,36,93.862,1.60439535166506,3.01119,1.03343302255691,36,48.96,0.623716459797417,1.49594,0.649515541170665,36,0.62849,0.017067093093631,0,0,36,0.409805,0.00287730294237889,0,0,36,35.075685,0.39505952600561,0.6433,0.2216231085023,36,11.636644,0.343680907470869,0.15668,0.0701183729290849,36,18.079811,0.13640045205611,0.50834,0.175222704008356,36,48.828,0.717492547386769,1.45085,0.501860151503052
38,65.078,0.54466707466325,2.3759,0.569309417920812,38,17.719,0.131102165419865,0.57392,0.198572168800721,38,12.905,0.0951314879522022,0.42908,0.184226109863818,38,25.417,0.221110831937289,0.80206,0.344969876945799,38,91.921,1.81793808719904,2.8036,1.21802328202525,38,46.579,0.328614938458035,1.44519,0.620515211470812,38,0.62751,0.0554662896621803,0,0,38,0.394551,0.00202549006415731,0,0,38,35.2685229,0.262577514769534,0.64505,0.222383288990477,38,11.911012,0.482046587393561,0.221,0.108921000933908,38,18.097399,0.180725280740933,0.51545,0.177833975319054,38,50.098,0.808411336442587,1.50246,0.518203536160155
40,57.865,0.405305097700759,2.25755,0.541855817743265,40,16.72,0.202264952750375,0.53699,0.18445068868279,40,12.49,0.092255683353987,0.42596,0.183455178903913,40,24.485,0.285433393670436,0.79395,0.340135062226104,40,87.417,3.5776499114487,2.7782,1.21691887431606,40,45.082,0.356301994256433,1.41026,0.604371688799386,40,0.610484,0.0134847891261887,0,0,40,0.383749,0.00173981129244908,0,0,40,35.2964772,0.409696913614281,0.60721,0.254260944045024,40,11.942738,0.468492246011963,0.22362,0.111913436786354,40,18.012131,0.23361021973697,0.52001,0.180910471719516,40,50.849,0.821657538826921,1.54129,0.527510190422896
