Threads,time_seconds,Time,Energy,CO2eq,travelled
2,91.02,0:01:39,0.0041,1.9329,0.0180
4,49.13,0:00:54,0.0024,1.1555,0.0107
6,34.83,0:00:38,0.0019,0.8895,0.0083
8,28.10,0:00:31,0.0016,0.7452,0.0069
10,23.91,0:00:26,0.0014,0.6697,0.0062
12,20.68,0:00:22,0.0013,0.5985,0.0056
14,18.45,0:00:20,0.0012,0.5775,0.0054
16,16.76,0:00:18,0.0012,0.5592,0.0052
18,15.83,0:00:17,0.0012,0.5567,0.0052
20,14.91,0:00:16,0.0012,0.5528,0.0051
22,14.67,0:00:16,0.0012,0.5524,0.0051
24,13.50,0:00:15,0.0012,0.5530,0.0051
26,12.53,0:00:14,0.0011,0.5258,0.0049
28,11.68,0:00:13,0.0011,0.5128,0.0048
30,10.99,0:00:12,0.0010,0.4803,0.0045
32,10.21,0:00:11,0.0010,0.4513,0.0042
34,9.69,0:00:11,0.0009,0.4366,0.0041
36,9.23,0:00:10,0.0009,0.4246,0.0040
38,8.82,0:00:10,0.0009,0.4205,0.0039
40,8.30,0:00:09,0.0009,0.4199,0.0039
42,7.99,0:00:09,0.0009,0.4152,0.0039
44,7.70,0:00:08,0.0009,0.4146,0.0039
46,10.46,0:00:11,0.0010,0.4863,0.0045
48,10.05,0:00:11,0.0010,0.4743,0.0044
50,10.20,0:00:11,0.0010,0.4764,0.0044
52,9.96,0:00:11,0.0010,0.4868,0.0045
54,10.00,0:00:11,0.0010,0.4768,0.0044
56,10.09,0:00:11,0.0010,0.4789,0.0045
58,9.82,0:00:11,0.0010,0.4792,0.0045
60,9.83,0:00:11,0.0010,0.4860,0.0045
62,10.09,0:00:11,0.0010,0.4796,0.0045
64,10.26,0:00:11,0.0011,0.5098,0.0047
66,10.31,0:00:11,0.0011,0.5140,0.0048
68,10.17,0:00:11,0.0011,0.5136,0.0048
70,10.16,0:00:11,0.0011,0.5102,0.0047
72,9.84,0:00:11,0.0010,0.4925,0.0046
74,9.51,0:00:10,0.0010,0.4949,0.0046
76,9.16,0:00:10,0.0010,0.4807,0.0045
78,8.76,0:00:09,0.0010,0.4788,0.0045
80,8.79,0:00:09,0.0010,0.4750,0.0044
82,8.72,0:00:09,0.0010,0.4771,0.0044
84,8.51,0:00:09,0.0010,0.4729,0.0044
86,8.16,0:00:09,0.0010,0.4781,0.0044
88,8.19,0:00:09,0.0010,0.4762,0.0044