Treads,time_seconds,Time,Energy,CO2eq,travelled
2,3.34185,0:00:03,0.0001,0.0689,0.0006
4,1.74603,0:00:02,0.0001,0.0401,0.0004
6,1.23076,0:00:01,0.0001,0.0313,0.0003
8,1.03745,0:00:01,0.0001,0.0275,0.0003
10,0.87351,0:00:01,0.0000,0.0215,0.0002
12,0.82898,0:00:01,0.0000,0.0203,0.0002
14,0.68104,0:00:01,0.0000,0.0000,0.0000
16,0.62824,0:00:01,0.0000,0.0000,0.0000
18,0.48742,0:00:00,0.0000,0.0000,0.0000
20,0.53988,0:00:01,0.0000,0.0000,0.0000
22,0.56583,0:00:01,0.0000,0.0000,0.0000
24,0.63161,0:00:01,0.0000,0.0000,0.0000
26,0.58762,0:00:01,0.0000,0.0000,0.0000
28,0.56744,0:00:01,0.0000,0.0000,0.0000
30,0.51993,0:00:01,0.0000,0.0000,0.0000
32,0.51501,0:00:01,0.0000,0.0000,0.0000
34,0.46801,0:00:00,0.0000,0.0000,0.0000
36,0.44228,0:00:00,0.0000,0.0000,0.0000
38,0.48231,0:00:00,0.0000,0.0000,0.0000
40,0.47236,0:00:00,0.0000,0.0000,0.0000
42,0.49283,0:00:01,0.0000,0.0000,0.0000
44,0.38806,0:00:00,0.0000,0.0000,0.0000
46,0.40666,0:00:00,0.0000,0.0000,0.0000
48,0.39525,0:00:00,0.0000,0.0000,0.0000
50,0.55903,0:00:01,0.0000,0.0000,0.0000
52,0.47329,0:00:00,0.0000,0.0000,0.0000
54,0.39452,0:00:00,0.0000,0.0000,0.0000
56,0.37061,0:00:00,0.0000,0.0000,0.0000
58,0.40730,0:00:00,0.0000,0.0000,0.0000
60,0.37276,0:00:00,0.0000,0.0000,0.0000
62,0.38644,0:00:00,0.0000,0.0000,0.0000
64,0.39724,0:00:00,0.0000,0.0000,0.0000
66,0.61103,0:00:01,0.0000,0.0000,0.0000
68,0.43036,0:00:00,0.0000,0.0000,0.0000
70,0.45227,0:00:00,0.0000,0.0000,0.0000
72,0.44508,0:00:00,0.0000,0.0000,0.0000
74,0.44334,0:00:00,0.0000,0.0114,0.0001
76,0.47914,0:00:00,0.0000,0.0000,0.0000
78,0.47207,0:00:00,0.0000,0.0000,0.0000
80,0.45889,0:00:00,0.0000,0.0000,0.0000
82,0.40623,0:00:00,0.0000,0.0000,0.0000
84,0.43815,0:00:00,0.0000,0.0114,0.0001
86,0.44644,0:00:00,0.0000,0.0000,0.0000
88,0.44363,0:00:00,0.0000,0.0000,0.0000